2022-08-18T11:30:29.860Z   Init
starting up keyserver on port 45454...
keyserver started on port 45454
2022-08-18T11:30:29.950Z   Owner: 0x7E5F4552091A69125d5DfCb7b8C2659029395Bdf
2022-08-18T11:30:29.954Z   Subscriber: 0x2B5AD5c4795c026514f8317c7a215E218DcCD6cF
2022-08-18T11:30:29.955Z   Create stream
2022-08-18T11:30:30.127Z   Create 300 publishers
2022-08-18T11:30:30.128Z   Publisher100: 0xFc32402667182d11B29fab5c5e323e80483e7800
2022-08-18T11:30:30.182Z   Publisher101: 0x25A71a07cecf1753ee65b00E0a3AAEf7e0F51c0F
2022-08-18T11:30:30.231Z   Publisher102: 0x85E4E16Bd367E4259537269633DA9a6Aa4cf95a3
2022-08-18T11:30:30.275Z   Publisher103: 0xe6eF3a317f91A0a44eB097c8e68B49CcF9E63895
2022-08-18T11:30:30.315Z   Publisher104: 0x3d67BC03e6E562079BfC96Dd2bb52e6D7B78CafC
2022-08-18T11:30:30.352Z   Publisher105: 0xA8c8948fBacc197d233fd1B42055DAAEbe96937B
2022-08-18T11:30:30.387Z   Publisher106: 0xe8F52E3fC52243040E884899f0bfA82Ae893ABe3
2022-08-18T11:30:30.425Z   Publisher107: 0x14a6E94f5c4F109d31ec0ff3cd002561b2525bcc
2022-08-18T11:30:30.457Z   Publisher108: 0x26A731e977cC6675FbA0755C284b3cB9B7047B3B
2022-08-18T11:30:30.495Z   Publisher109: 0x5144cF3Dd12B045CAF7b45569B3EBe5B4B52f92E
2022-08-18T11:30:30.526Z   Publisher110: 0x2e58Ad35cfa1B433389eED66202B853BBfF79576
2022-08-18T11:30:30.560Z   Publisher111: 0x718811e2d1170db844d0c5de6D276b299f2916a9
2022-08-18T11:30:30.593Z   Publisher112: 0x2af2C21DD70DECF579064c02F66b8138bc47EBb2
2022-08-18T11:30:30.628Z   Publisher113: 0x94Eae9AE79b6d7883a45D7062df59622e4cd649F
2022-08-18T11:30:30.661Z   Publisher114: 0x94731Ccd972053EF09adD89e93Eec803fc5Fbc65
2022-08-18T11:30:30.698Z   Publisher115: 0x2B1D751c392B788F8e7B07f0A70127EAD881AFD0
